Driver,Var
Pipo Derani,61.135537500685864
Juan Pablo Montoya,1.1903370617283944
Helio Castroneves,1.7549857777777824
Joao Barbosa,1.5868933263888911
Renger Van Der Zande,1.841994543209877
Eric Curran,2.1533648888888877
Jonathan Bomarito,1.8447411874999968
Tristan Nunez,1.9979529135802505
Misha Goikhberg,1.1374774722222198
Scott Sharp,1.6301732098765447
Sebastian Saavedra,1.651753809948979
Robert Alon,3.116025472057078
Matthew McMurry,2.8636003950617326
Jonathan Bennett,93.17569341519257
Bryan Sellers,0.4399788994082856
Katherine Legge,0.5158107100591721
Justin Marks,0.3573550763888884
Dominik Baumann,0.32748842975206593
Ben Keating,0.27128576000000065
David Heinemeier Hansson,1.2229234843750068
Cooper MacNeil,0.7728933609467445
Michael Schein,1.3874670400000002
Kenny Habul,1.712023187499998
Christina Nielsen,2.1496524948979574
Robby Foley,0.9192025207100574
John Potter,1.5228276377551009
Ryan Dalziel,33.42373785373265
Ricky Taylor,34.95215928993055
Jordan Taylor,33.38777145659723
Oliver Jarvis,25.839321924852864
Dane Cameron,36.50304840972223
Felipe Nasr,23.834590791232632
Tristan Vautier,1.8272406222222193
Colin Braun,2.492553539930555
Kyle Marcelli,0.6537761225461008
Lawson Aschenbach,0.42838359785841906
Madison Snow,0.9909992743750025
Mario Farnbacher,0.4811996899999989
Jeff Segal,0.3159850940170939
Bill Auberlen,1.3381364812623284
Andy Lally,0.7747195318559591
Patrick Long,0.9602425346260396
Jeroen Bleekemolen,0.1973386997808618
Wolf Henzler,1.1458792753834917
Bernd Schneider,1.872869348765433
Filipe Albuquerque,1.199791157024793
Johannes van Overbeek,3.655088708680145
Gustavo Yacaman,1.780256206896552
Simon Trummer,11.608425829903968
Stephen Simpson,74.49315616715975
