Car,Class,Driver,Lap,Lap Time,Session Time,Flag,Location,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,SP1,SP4
6,DPi,Juan Pablo Montoya,1,1:53.802,1900-01-01 00:01:53.802000,Yellow,Track,3.4130000000000003,11.700999999999999,0.507,13.689,10.068,11.373,1.028,19.587,14.607000000000001,15.251,4.026,8.551,155.998,78.926
55,DPi,Jonathan Bomarito,1,1:55.027,1900-01-01 00:01:55.027000,Yellow,Track,3.405,11.857999999999999,0.515,13.618,10.16,11.311,1.0590000000000002,20.191,14.472000000000001,14.997,4.133,8.977,153.575,76.616
31,DPi,Pipo Derani,1,1:55.676,1900-01-01 00:01:55.676000,Yellow,Track,3.4,11.922,0.516,13.897,10.099,11.2,1.034,20.297,15.067,14.607000000000001,3.988,9.09,153.27700000000002,78.468
7,DPi,Helio Castroneves,1,1:56.228,1900-01-01 00:01:56.228000,Yellow,Track,3.596,12.283,0.514,13.886,10.790999999999999,11.345,0.9690000000000001,20.191,15.284,14.032,3.801,9.14,153.873,83.73200000000001
5,DPi,Joao Barbosa,1,1:58.154,1900-01-01 00:01:58.154000,Yellow,Track,3.623,12.15,0.518,14.231,10.767999999999999,13.173,1.032,18.635,16.133,14.499,3.6710000000000003,8.999,152.685,78.62100000000001
10,DPi,Renger Van Der Zande,1,1:59.603,1900-01-01 00:01:59.603000,Yellow,Track,3.5989999999999998,12.302999999999999,0.513,14.435,10.732000000000001,14.002,1.2409999999999999,20.335,14.157,14.165999999999999,3.826,9.482999999999999,154.173,65.38
84,DPi,Simon Trummer,1,2:00.422,1900-01-01 00:02:00.422000,Yellow,Track,3.759,12.285,0.517,14.395999999999999,10.696,14.052999999999999,1.2670000000000001,20.475,14.187000000000001,14.247,3.7880000000000003,9.588,152.98,64.038
77,DPi,Tristan Nunez,1,2:00.996,1900-01-01 00:02:00.996000,Yellow,Track,3.66,12.33,0.516,14.868,10.753,14.305,1.308,20.493000000000002,14.273,14.302999999999999,3.7769999999999997,9.516,153.27700000000002,62.031000000000006
50,DPi,Victor Franzoni,1,2:02.005,1900-01-01 00:02:02.005000,Yellow,Track,3.583,12.489,0.523,14.412,10.82,14.538,1.3,20.836,14.168,14.529000000000002,3.783,9.447000000000001,151.225,62.413000000000004
85,DPi,Misha Goikhberg,1,2:03.048,1900-01-01 00:02:03.048000,Yellow,Track,3.8989999999999996,12.571,0.527,14.644,10.789000000000001,14.709000000000001,1.328,20.877,14.324000000000002,14.234000000000002,3.875,9.824,150.078,61.097
54,DPi,Jonathan Bennett,1,2:04.900,1900-01-01 00:02:04.900000,Yellow,Track,3.839,12.373,0.509,14.817,10.822000000000001,15.091,1.244,21.221999999999998,14.186,14.915,3.79,10.092,155.385,65.222
73,GTD,Zacharie Robichon,1,2:05.873,1900-01-01 00:02:05.873000,Yellow,Track,3.858,13.081,0.573,14.217,11.172,15.504000000000001,1.254,21.361,14.645,14.276,3.8310000000000004,9.714,138.03,64.702
57,GTD,Christina Nielsen,1,2:06.546,1900-01-01 00:02:06.546000,Yellow,Track,3.9330000000000003,13.210999999999999,0.5670000000000001,14.162,11.128,15.818,1.242,21.551,14.44,14.102,4.14,9.62,139.49,65.327
86,GTD,Trent Hindman,1,2:07.365,1900-01-01 00:02:07.365000,Yellow,Track,3.923,13.265,0.5720000000000001,14.469000000000001,11.069,15.889000000000001,1.288,21.701999999999998,14.585,14.04,4.17,9.472999999999999,138.27100000000002,62.994
14,GTD,Richard Heistand,1,2:08.552,1900-01-01 00:02:08.552000,Yellow,Track,3.766,13.380999999999998,0.575,14.969000000000001,11.173,15.898,1.304,21.737,14.692,14.562999999999999,3.86,9.29,137.549,62.221000000000004
12,GTD,Frank Montecalvo,1,2:09.462,1900-01-01 00:02:09.462000,Yellow,Track,3.8960000000000004,13.540999999999999,0.578,15.004000000000001,11.699000000000002,16.899,1.3719999999999999,20.926,14.537,14.729000000000001,3.989,8.979,136.835,59.137
76,GTD,Matt Plumb,1,2:10.904,1900-01-01 00:02:10.904000,Yellow,Track,4.31,13.49,0.58,14.777000000000001,11.524000000000001,17.276,1.426,21.364,14.439,14.337,4.187,8.869,136.364,56.898
44,GTD,John Potter,1,2:11.593,1900-01-01 00:02:11.593000,Yellow,Track,4.348,14.587,0.586,14.668,11.408,17.232,1.48,21.319000000000003,15.027000000000001,14.109000000000002,4.486000000000001,8.324,134.967,54.821999999999996
8,GTD,Parker Chase,1,2:13.276,1900-01-01 00:02:13.276000,Yellow,Track,4.465,14.215,0.603,15.094000000000001,11.47,17.543,1.64,20.983,14.857000000000001,14.206,4.697,8.895,131.162,49.473
74,GTD,Gar Robinson V,1,2:14.169,1900-01-01 00:02:14.169000,Yellow,Track,4.462,14.065,0.5760000000000001,15.287,11.658,17.847,1.597,21.065,14.623,14.491,4.944,8.725,137.311,50.805
96,GTD,Robby Foley,1,2:15.122,1900-01-01 00:02:15.122000,Yellow,Track,4.855,13.864,0.5710000000000001,15.243,12.241,17.762999999999998,1.705,21.208000000000002,14.800999999999998,14.229000000000001,4.966,8.824,138.513,47.586999999999996
48,GTD,Ryan Hardwick,1,3:29.623,1900-01-01 00:03:29.623000,Yellow,Pit,4.265,26.026,0.735,17.62,13.106,12.421,0.846,18.798,14.372,14.36,7.403,76.061,107.60700000000001,95.906
6,DPi,Juan Pablo Montoya,2,2:29.328,1900-01-01 00:04:23.130000,Yellow,Track,6.86,23.430999999999997,1.0959999999999999,20.491,14.206,18.349,1.272,20.404,14.373,14.843,4.092,9.911,72.163,63.786
55,DPi,Jonathan Bomarito,2,2:30.014,1900-01-01 00:04:25.041000,Yellow,Track,7.1770000000000005,23.932,1.122,19.928,13.658,18.736,1.315,20.269000000000002,14.876,14.597000000000001,4.502,9.902000000000001,70.491,61.701
31,DPi,Pipo Derani,2,2:30.531,1900-01-01 00:04:26.207000,Yellow,Track,7.652,23.689,1.208,20.074,13.458,18.621,1.375,20.436,15.1,14.366,4.3839999999999995,10.168,65.473,59.008
7,DPi,Helio Castroneves,2,2:31.848,1900-01-01 00:04:28.076000,Yellow,Track,8.171,23.443,1.3090000000000002,20.697,13.261,18.029,1.365,20.793000000000003,14.933,15.304,4.361000000000001,10.182,60.42100000000001,59.441
5,DPi,Joao Barbosa,2,2:31.154,1900-01-01 00:04:29.308000,Yellow,Track,7.6339999999999995,24.236,1.466,19.695,13.119000000000002,18.825,1.3,19.843,15.259,15.235999999999999,4.261,10.28,53.95,62.413000000000004
10,DPi,Renger Van Der Zande,2,2:30.738,1900-01-01 00:04:30.341000,Yellow,Track,8.079,24.266,1.301,19.65,12.465,18.750999999999998,1.364,19.91,15.606,14.637,4.274,10.435,60.792,59.483999999999995
84,DPi,Simon Trummer,2,2:30.716,1900-01-01 00:04:31.138000,Yellow,Track,8.341000000000001,23.921999999999997,1.236,20.035,12.185,18.692999999999998,1.2990000000000002,19.947,15.659,14.875,4.1739999999999995,10.35,63.989,62.461000000000006
77,DPi,Tristan Nunez,2,2:30.730,1900-01-01 00:04:31.726000,Yellow,Track,8.717,23.309,1.3630000000000002,20.374000000000002,12.573,18.407,1.423,19.500999999999998,15.652999999999999,14.831,4.383,10.196,58.027,57.018
50,DPi,Victor Franzoni,2,2:30.664,1900-01-01 00:04:32.669000,Yellow,Track,8.855,23.799,1.262,20.476,13.052999999999999,17.899,1.281,19.704,15.25,14.762,4.276,10.047,62.67100000000001,63.338
85,DPi,Misha Goikhberg,2,2:30.690,1900-01-01 00:04:33.738000,Yellow,Track,8.806000000000001,23.511999999999997,1.216,20.464000000000002,13.026,18.532,1.229,19.142,15.300999999999998,14.535,4.475,10.452,65.042,66.018
54,DPi,Jonathan Bennett,2,2:30.383,1900-01-01 00:04:35.283000,Yellow,Track,9.083,23.820999999999998,1.203,20.09,13.556,17.715999999999998,1.359,18.868,15.511,15.244000000000002,4.319,9.613,65.745,59.703
73,GTD,Zacharie Robichon,2,2:30.994,1900-01-01 00:04:36.867000,Yellow,Track,9.08,25.147,1.499,19.783,13.222999999999999,16.954,1.459,19.941,14.081,15.508,4.777,9.542,52.762,55.611000000000004
57,GTD,Christina Nielsen,2,2:31.020,1900-01-01 00:04:37.566000,Yellow,Track,9.164,25.156,1.511,19.476,13.299000000000001,17.087,1.531,19.691,14.683,15.152999999999999,4.736000000000001,9.533,52.343,52.996
86,GTD,Trent Hindman,2,2:31.276,1900-01-01 00:04:38.641000,Yellow,Track,9.496,24.895,1.436,19.614,13.58,16.308,1.642,19.96,15.13,14.642000000000001,4.709,9.863999999999999,55.077,49.413000000000004
14,GTD,Richard Heistand,2,2:31.621,1900-01-01 00:04:40.173000,Yellow,Track,9.318999999999999,25.281999999999996,1.4969999999999999,19.975,13.1,15.947000000000001,1.446,20.352999999999998,15.28,14.335,4.711,10.376,52.833,56.111000000000004
12,GTD,Frank Montecalvo,2,2:32.131,1900-01-01 00:04:41.593000,Yellow,Track,9.581,25.052,1.6119999999999999,20.157,12.913,15.912,1.28,20.474,15.52,14.822000000000001,4.524,10.284,49.06399999999999,63.388000000000005
76,GTD,Matt Plumb,2,2:32.399,1900-01-01 00:04:43.303000,Yellow,Track,9.677,24.89,1.655,21.391,12.324000000000002,15.265999999999998,1.138,20.638,16.208,15.835,3.6310000000000002,9.746,47.788999999999994,71.297
44,GTD,John Potter,2,2:32.555,1900-01-01 00:04:44.148000,Yellow,Track,9.551,25.14,1.589,21.441999999999997,12.76,15.465,1.207,19.918,16.003,16.0,3.512,9.968,49.773999999999994,67.222
8,GTD,Parker Chase,2,2:31.790,1900-01-01 00:04:45.066000,Yellow,Track,9.572000000000001,24.514,1.54,21.320999999999998,13.074000000000002,15.622,1.242,19.832,15.595999999999998,15.84,3.51,10.127,51.358000000000004,65.327
74,GTD,Gar Robinson V,2,2:31.507,1900-01-01 00:04:45.676000,Yellow,Track,9.636000000000001,24.203000000000003,1.5419999999999998,21.598000000000003,13.107000000000001,15.456,1.271,19.677,15.464,16.371,3.307,9.875,51.291000000000004,63.836999999999996
96,GTD,Robby Foley,2,2:31.702,1900-01-01 00:04:46.824000,Yellow,Track,9.644,24.285999999999998,1.5219999999999998,21.358,13.06,15.204,1.391,19.815,15.935,15.600999999999999,3.705,10.181000000000001,51.965,58.33
48,GTD,Ryan Hardwick,2,1:47.787,1900-01-01 00:05:17.410000,Yellow,Track,9.605,15.55,0.598,15.776,11.620999999999999,10.078,0.586,14.423,10.857000000000001,10.94,2.4930000000000003,5.26,132.259,138.458
