"POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSACarId,IMSATeamId,IMSACarClassId,IMSACarTypeId,IMSAManufacturerId,IMSATiresId,IMSASponsorId,IMSAEventEntryId,*Extra 9,*Extra 10,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_IMSADriverId,DRIVER1_IMSADriverPlugId,DRIVER1_IMSADriverRatingLong,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_IMSADriverId,DRIVER2_IMSADriverPlugId,DRIVER2_IMSADriverRatingLong,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_IMSADriverId,DRIVER3_IMSADriverPlugId,DRIVER3_IMSADriverRatingLong,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_IMSADriverId,DRIVER4_IMSADriverPlugId,DRIVER4_IMSADriverRatingLong,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_IMSADriverId,DRIVER5_IMSADriverPlugId,DRIVER5_IMSADriverRatingLong,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_IMSADriverId,DRIVER6_IMSADriverPlugId,DRIVER6_IMSADriverRatingLong,DRIVER6_*Extra 4,DRIVER6_*Extra 5,"
"1,10,Classified,57,1:40:11.998,-,-,48,1:23.956,162.2,Konica Minolta Corvette DP for Wayne Taylor Racing,P,,,Chevrolet Corvette DP,C,81,81,1,3,105,1,,176,,,Ricky,Taylor,Gold,,USA,,608,4,,,,Jordan,Taylor,Platinum,,USA,,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"2,5,Classified,57,1:40:13.738,+1.740,+1.740,56,1:23.910,162.3,Action Express Racing,P,,,Chevrolet Corvette DP,C,1,1,1,3,105,1,,175,,,Joao,Barbosa,Platinum,,PRT,,182,1,,,,Christian,Fittipaldi,Platinum,,BRA,,601,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"3,8,Classified,57,1:40:45.641,+33.643,+31.903,46,1:24.977,160.2,Starworks Motorsports,PC,,,ORECA FLM09,C,12,12,2,5,105,1,,182,,,Renger,Van Der Zande,Gold,,NLD,,385,2,,,,Alex,Popow,Silver,,VEN,,97,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"4,54,Classified,57,1:40:49.115,+37.117,+3.474,52,1:25.563,159.1,CORE autosport,PC,,,ORECA FLM09,C,10,10,2,5,105,1,,186,,,Jonathan,Bennett,Silver,,USA,,60,1,,,,Colin,Braun,Gold,,USA,,61,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"5,52,Classified,57,1:41:00.080,+48.082,+10.965,48,1:26.376,157.6,PR1/Mathiasen Motorsports,PC,,,ORECA FLM09,C,16,16,2,5,105,1,,185,,,Robert,Alon,Silver,,USA,,720,1,,,,Tom,Kimber-Smith,Gold,,GBR,,208,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"6,38,Classified,57,1:41:03.276,+51.278,+3.196,54,1:26.440,157.5,Performance Tech Motorsports,PC,,,ORECA FLM09,C,11,11,2,5,105,1,,184,,,James,French,Silver,,USA,,284,3,,,,Kyle,Marcelli,Gold,,CAN,,88,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"7,55,Classified,57,1:41:12.975,+1:00.977,+9.699,6,1:26.544,157.3,Mazda Motorsports,P,,,Mazda Prototype,C,5,4,1,4,110,1,,178,,,Tristan,Nunez,Gold,,USA,,169,1,,,,Jonathan,Bomarito,Platinum,,USA,,309,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"8,20,Classified,57,1:41:13.466,+1:01.468,+0.491,55,1:27.128,156.3,BAR1 Motorsports,PC,,,ORECA FLM09,C,14,14,2,5,105,1,,183,,,Johnny,Mowlem,Gold,,GBR,,201,2,,,,Tomy,Drissi,Bronze,,USA,,91,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"9,70,Classified,56,1:40:33.977,1 Lap,1 Lap,6,1:26.818,156.8,Mazda Motorsports,P,,,Mazda Prototype,C,4,4,1,4,110,1,,180,,,Tom,Long,Gold,,USA,,622,1,,,,Joel,Miller,Gold,,USA,,634,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"10,33,Classified,56,1:40:43.103,1 Lap,+9.126,55,1:30.626,150.2,Riley Motorsports,GTD,,,Dodge Viper GT3-R,C,35,35,4,15,912,1,,204,,,Ben,Keating,Silver,,USA,,378,1,,,,Jeroen,Bleekemolen,Platinum,,NLD,,186,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
